1AFS839,Kristen,Stone,1988-05-31,kstone2@wpi.edu,414-963-2540,Mechanical Engineering,2015,female,kstone2
1AZX383,Valerie,Greene,2001-10-21,vgreene1@wpi.edu,776-223-9881,Chemical Engineering,2018,female,vgreene1
1BVN946,Jason,Lane,1995-03-02,jlane5@wpi.edu,896-953-0719,Mechanical Engineering,2015,male,jlane5
1CMR836,Michele,Savage,1990-07-27,msavage9@wpi.edu,847-732-1425,Chemical Engineering,2017,female,msavage9
1DVZ212,Justin,Humphrey,2009-07-13,jhumphrey3@wpi.edu,143-417-5514,Electrical & Computer Engineering,2018,male,jhumphrey3
1EEC956,Roger,Curtis,1997-04-15,rcurtis5@wpi.edu,118-084-8586,Humanities & Arts,2019,male,rcurtis5
1EFN519,Taylor,Perez,1992-08-16,tperez@wpi.edu,666-741-7448,Biomedical Engineering,2015,female,tperez
1EQC466,Richard,Smith,1997-08-15,rsmith4@wpi.edu,766-745-3120,Chemistry & Biochemistry,2014,male,rsmith4
1FAL122,Eric,Hall,2006-10-15,ehall1@wpi.edu,111-574-0003,Business,2018,male,ehall1
1FOE677,Christina,Jones,1994-08-21,cjones6@wpi.edu,458-551-6509,Computer Science,2015,female,cjones6
1GGF619,Deborah,Cordova,2008-04-18,dcordova7@wpi.edu,126-740-0542,Civil & Environmental Engineering,2017,female,dcordova7
1IAC353,Michael,Guzman,1985-10-10,mguzman9@wpi.edu,490-968-9271,Interdisciplinary & Global Studies,2015,male,mguzman9
1IDQ818,Angela,Curtis,1987-06-15,acurtis7@wpi.edu,669-471-0537,Mathematical Sciences,2018,female,acurtis7
1JPD846,Alexander,Johnson,1986-03-08,ajohnson1@wpi.edu,607-616-5093,Humanities & Arts,2019,male,ajohnson1
1KEK686,Nicholas,Joyce,2008-06-28,njoyce2@wpi.edu,230-338-6205,Business,2014,male,njoyce2
1LBL144,Gwendolyn,Sanders,1992-02-24,gsanders6@wpi.edu,633-278-6320,Humanities & Arts,2015,female,gsanders6
1LOT892,Gregory,Cruz,1993-10-29,gcruz6@wpi.edu,336-834-8976,Social Science & Policy Studies,2018,male,gcruz6
1LTM332,Michael,Tate,1985-10-17,mtate6@wpi.edu,854-357-2646,Social Science & Policy Studies,2019,male,mtate6
1MNM618,Jennifer,Frost,1996-08-26,jfrost6@wpi.edu,758-355-6838,Computer Science,2014,female,jfrost6
1MQK358,David,Hutchinson,2007-06-05,dhutchinson7@wpi.edu,209-058-3834,Mechanical Engineering,2018,male,dhutchinson7
1NEQ537,Jeffrey,Baker,1988-03-27,jbaker6@wpi.edu,981-251-4655,Social Science & Policy Studies,2014,male,jbaker6
1PXG426,Rachel,Lopez,1987-08-14,rlopez3@wpi.edu,905-968-1906,Interdisciplinary & Global Studies,2015,female,rlopez3
1RMQ718,Virginia,Haynes,2001-07-26,vhaynes@wpi.edu,735-609-0904,Business,2018,female,vhaynes
1SIL925,Cindy,Cox,1989-03-27,ccox6@wpi.edu,137-053-0921,Electrical & Computer Engineering,2016,female,ccox6
1TCT115,Cynthia,Medina,2001-02-01,cmedina1@wpi.edu,409-045-6094,Mathematical Sciences,2014,female,cmedina1
1UHJ887,Jonathan,Jones,2009-05-27,jjones5@wpi.edu,544-316-6412,Chemistry & Biochemistry,2015,male,jjones5
1UWO673,Carlos,Terry,1986-10-28,cterry5@wpi.edu,666-233-8118,Mechanical Engineering,2019,male,cterry5
1VUG142,Bryan,Gonzales,2000-02-13,bgonzales8@wpi.edu,404-316-5684,Humanities & Arts,2016,male,bgonzales8
1XNX845,Duane,White,1984-10-19,dwhite7@wpi.edu,290-343-7251,Biomedical Engineering,2019,male,dwhite7
1YJJ113,Angela,Davis,1985-09-11,adavis9@wpi.edu,857-447-4133,Fire Protection Engineering,2014,female,adavis9
1YXA447,Mark,Walls,2005-03-05,mwalls4@wpi.edu,805-879-4845,Fire Protection Engineering,2019,male,mwalls4
1ZDG377,Jamie,Duncan,2007-07-08,jduncan2@wpi.edu,204-724-8754,Chemical Engineering,2016,female,jduncan2
1ZHJ283,Adam,Mason,2006-04-09,amason3@wpi.edu,439-385-1106,Interdisciplinary & Global Studies,2016,male,amason3
1ZRJ914,Joy,Middleton,1988-10-01,jmiddleton@wpi.edu,225-574-4961,Business,2019,female,jmiddleton
2ACB429,Jonathan,Robertson,1992-12-26,jrobertson6@wpi.edu,110-970-2931,Mechanical Engineering,2015,male,jrobertson6
2BBY753,Heidi,Merritt,1989-05-09,hmerritt@wpi.edu,452-930-3439,Mathematical Sciences,2014,female,hmerritt
2BGL512,Cheryl,Ramos,1985-10-28,cramos6@wpi.edu,749-095-7904,Civil & Environmental Engineering,2017,female,cramos6
2BYG162,Alan,Lindsey,1998-06-26,alindsey4@wpi.edu,685-415-7652,Fire Protection Engineering,2014,male,alindsey4
2CAL295,John,Sims,2003-11-30,jsims1@wpi.edu,864-344-2362,Chemistry & Biochemistry,2014,male,jsims1
2CFT687,John,Taylor,1993-12-08,jtaylor4@wpi.edu,703-261-2192,Chemistry & Biochemistry,2014,male,jtaylor4
2CGQ992,Elizabeth,Jones,1985-06-20,ejones7@wpi.edu,926-070-7599,Mathematical Sciences,2016,female,ejones7
2CLY344,Paige,Flores,1999-05-20,pflores9@wpi.edu,409-911-9916,Interdisciplinary & Global Studies,2017,female,pflores9
2EGJ315,Scott,Ho,2007-12-19,sho2@wpi.edu,842-046-3933,Business,2019,male,sho2
2FQI457,Kelli,Wall,1996-05-25,kwall6@wpi.edu,210-762-8482,Mathematical Sciences,2016,female,kwall6
2GUA135,Joshua,Mckinney,2005-12-10,jmckinney5@wpi.edu,718-480-2970,Interdisciplinary & Global Studies,2014,male,jmckinney5
2GZI727,Erica,Johnson,1986-09-04,ejohnson7@wpi.edu,294-764-5181,Civil & Environmental Engineering,2018,female,ejohnson7
2HJB861,Richard,Short,2004-06-10,rshort7@wpi.edu,136-471-3583,Humanities & Arts,2019,male,rshort7
